"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5839777179.55234","5156523338.13202","3001096441.20728","2736999990.59546","2884798066.15368","3083849087.13088","3264729194.59891","3373153453.15604","3619393654.82187","3738833645.45205","3959424830.6504","4339529614.36417","4912347523.37066","5600076176.7187","6188084175.20809","7048227875.50714","7978593955.03646","9071661326.99986","9697605958.60182","8330243518.3711","8513508875.79318","8913643792.84258","9555426146.01325","9870755208.83169","10226102396.4079","10553337672.9872","10574444348.3148","11367527674.612","11958639113.6524","12867495686.1153","11889566013.9705",
"American Samoa","ASM","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","744923664.122138","752116030.534351","755198473.282443","752116030.534351","721291603.053435","734648854.961832","715126717.557252","685329770.992367","687384732.824428","687384732.824428","657587786.259542","641148091.603054","652450381.679389","673000000","661697709.923664","615461068.70229","636010687.022901","626763358.778626","",
"Antigua and Barbuda","ATG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","346269196.833577","361448350.027329","390652456.233093","422535286.105259","438654653.040003","438286129.335493","461795868.634098","508737398.337917","547624235.019779","610567225.77537","651025662.211974","684965406.632283","720941671.087821","742654377.271652","758818833.53906","767609561.473437","808138415.274982","862095450.251678","824511645.778324","878966185.317249","927059773.66768","970920131.234148","1006918139.9154","1069381614.5052","1020746101.54234","1031233675.39432","1093897040.21001","1156982395.5026","1231883484.14811","1388433067.06436","1517770927.22872","1517553268.98274","1336012965.82455","1231261603.44532","1207145958.1923","1247861376.20468","1240363271.73109","1287444082.93699","1336692592.59259","1410181123.64178","1454525659.75542","1555621252.00326","1607752622.91678","1350938102.6914",
"Australia","AUS","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","205199861793.13","210300657354.962","213026337576.404","226265137101.832","242055099833.681","256538481229.388","262650403882.634","279204261267.951","293431990545.163","314102306293.555","336630309741.313","350107922024.138","363805976852.252","373314857894.365","388633318515.457","393879544923.14","404071950940.751","418608146696.267","422362558795.725","439440732651.608","452774444939.592","467887006099.979","483460353414.061","472725260713.776","494382209937.438","520333961666.72","541342595488.09","555153167865.363","587037732679.843","609704278143.91","631476806618.748","628964680113.056","631557176296.719","657008339746.072","683182830297.156","709401715527.499","736916466136.922","766146535301.876","801210677661.952","841860895353.699","874972437251.854","891866908986.663","927554107707.383","955250264161.367","993989979793.939","1025840100460.72","1054507581879.88","1095045282022.47","1135101529522.74","1157088377138.83","1181010220430.24","1210095624174.85","1257509141624.15","1290014466522.76","1322692012159.88","1351693984524.5","1389144723607.54","1421103534695.95","1463015939044.58","1494631074081.48","1490373777425.58",
"Austria","AUT","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","84896808897.8958","89598376615.323","91971546518.3426","95777575212.1801","101643332719.497","105180698490.616","111115899537.492","114458318906.485","119577252933.53","127081762488.474","135114781955.074","142025860605.762","150842628738.947","158219489928.118","164456720676.386","163858533309.603","171360706845.024","180065797498.937","179686482242.781","189311747857.845","192589653502.591","192311756858.006","196179636120.972","202012229400.395","202115810692.184","207166034993.966","211933740060.829","214810037098.103","221889917930.629","230514945053.794","240532297938.036","248810524315.793","254019433892.259","255357631649.207","261491626025.454","268468179542.483","274775930301.869","280528637501.228","290575562542.055","300909392067.843","311067257058.536","315009002387.092","320211545920.249","323226244509.893","332066870887.62","339518668391.822","351245785239.585","364338174382.496","369659055340.931","355742951210.873","362278282473.232","372866942272.743","375404098888.85","375499844623.848","377982923143.829","381817565893.574","389413586441.667","398757906587.572","409046342010.111","414849622654.575","388884040326.88",
"Azerbaijan","AZE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20566346743.9737","20422382279.1857","15806923874.7708","12155524568.8385","9760886140.9637","8609101602.49486","8721019877.26994","9226839031.22687","10149523041.8764","10900587705.0398","12110552886.1774","13309497637.6795","14565769985.292","16052687484.3134","17538171291.64","22442113733.875","30177059639.0534","37861109489.0647","41871145159.5605","45794084059.5943","47987273929.7913","47232435252.4527","48272936999.9902","51093725409.6078","52523116029.3735","53074370486.0433","51448384892.6214","51527417147.3","52300535393.748","53597667954.6636","51287614290.1902",
"Burundi","BDI","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","798636586.076214","688854922.357726","751286931.911249","782355707.437306","831433177.50157","864418007.438327","904293548.7126","1029280649.76489","1026214590.75738","1011236566.58769","1226889547.10806","1260590101.4448","1179862353.52656","1261143669.46219","1251977178.33741","1260714980.41726","1360849297.18503","1516931268.32898","1502663377.04689","1527682045.32885","1542822225.70089","1730479944.57191","1712247610.98724","1775863208.63839","1778625457.39319","1988204099.82116","2052824320.94466","2165793216.47724","2274754800.96498","2305452667.72922","2386139410.62248","2505370894.39312","2530675099.6139","2372760973.36281","2281884228.17322","2101158997.21638","1933066277.48233","1902330523.7311","1992691223.51503","1972565042.22731","1955662841.35143","1995867497.05934","2084614132.75883","2059104126.75326","2158634173.32922","2178061880.90866","2295977950.63795","2375234018.66397","2490711079.61285","2585675589.9984","2718169829.72556","2827782814.13147","2953526065.03187","3098963455.56708","3230379700.28265","3104394792.28413","3085767802.6345","3101196950.18679","3151124145.83653","3209182873.27743","3218732667.22265",
"Belgium","BEL","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","107366655198.619","112711821523.205","118586365616.34","123746751262.705","132355422615.927","137068148994.889","141393875830.575","146863198721.62","153022831647.349","163167939026.659","172277373827.955","179144052099.227","188630813018.71","200668669305.573","209829711730.044","205704582209.643","217332539614.864","218693377861.03","224908417292.124","230173687424.147","240402730102.557","239731325474.251","241157695149.165","241909727823.21","247876147754.542","251970548361.707","256563371342.651","262481414890.165","274878960387.47","284414970526.324","293338212397.457","298715319714.369","303287620523.641","300370377849.968","310063244412.389","317457500204.916","321652545295.04","333854941620.112","340404535481.244","352464194911.908","365564158980.916","369583971520.019","375892343356.801","379794040283.981","393357261546.418","402489982841.63","412762935691.94","427939738210.589","429852323870.317","421166112860.176","433229543117.888","440570677938.919","443827452534.333","445865695460.078","452903833237.191","462149679343.822","468003666521.404","475592566860.779","484095781852.447","492735412057.885","461772263919.058",
"Benin","BEN","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","1651120631.20929","1702986960.94733","1644635648.43514","1722427374.70054","1836981870.38527","1934229170.89561","2003394550.98476","2024999131.09283","2102806394.33158","2163314605.76897","2208695701.84178","2175635020.7186","2315449323.57656","2401263703.37629","2481449394.23355","2359973874.34654","2380844452.76163","2499497734.10018","2530868381.07193","2696279545.70751","2879134857.816","3165730597.16209","3236486776.2983","3095770068.44049","3341259668.14599","3592867374.78964","3670873612.91974","3615810400.45557","3738937613.98782","3632222333.62937","3958255490.57335","4125523428.11015","4247544481.2222","4495438486.53384","4586264345.8381","4863513136.1772","5073825258.08595","5364793325.34003","5577293440.15288","5875201745.58899","6219354272.83818","6551040876.248","6855207726.48731","7091272067.69746","7405393051.15179","7532259620.7003","7829312267.99952","8298002249.85464","8704320326.47543","8906198943.57193","9094481753.90847","9364019722.36167","9814543622.52956","10520350022.2065","11189200116.5963","11388160997.1089","11768488383.6733","12435944730.2688","13268812215.2665","14179807375.1016","14725558723.7319",
"Burkina Faso","BFA","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","1166782782.04356","1213966637.39199","1288368209.87141","1272031490.03047","1301069669.40977","1350049027.54765","1357307067.74807","1477066545.51497","1522423920.0375","1553269462.43977","1555087092.32094","1577065758.39551","1613519613.54947","1620769599.35777","1755073480.65671","1807697303.6151","1961982369.84559","1969248641.35979","2059988172.67194","2135478942.38886","2152496122.90425","2244091363.48858","2458675792.05988","2467182435.09893","2423298742.87483","2629699941.73324","2838902110.75703","2832192740.53431","2996335103.75436","3060764316.96266","3042310097.1897","3318247150.21709","3325969068.44029","3441093660.86632","3486344292.74658","3685636766.66074","4091600216.47068","4350059840.1554","4667950017.22733","5013156021.43868","5107828163.92166","5445629565.17945","5682675850.46101","6126066286.40807","6400419232.9076","6954815432.94898","7389711495.72987","7693530543.6276","8139754679.75346","8380850213.3838","9088720420.95919","9690626621.56382","10315931008.977","10913490065.2338","11385699931.5135","11832159275.603","12537116569.2425","13314855268.0876","14211109547.054","15021062489.1219","15324846157.9837",
