Country,Year,ghg_pergdp,gdp_percapita,population,fossilfuels_percapita,nuclear_percapita,renewables_percapita,yearly_oil_co2,yearly_gas_co2,yearly_flaring_co2,yearly_coal_co2,yearly_cement_co2
Canada,2008,0.6192483878097428,-0.6147303506707436,-0.8399837867518428,1.408526769517459,0.11745662618789904,2.409614194988337,-0.48008109920207237,-0.3022185983185957,0.24731814740488514,-0.5238618689642602,-0.8380887811047866
Canada,2009,0.8259620986858874,-0.6248751941979775,-0.8351596048568494,1.0953837526715169,0.0058580272745541615,2.320265863458669,-0.48573737285542695,-0.3194930297892206,0.18910403114199317,-0.5528602541303077,-0.9631582520258727
Canada,2010,0.47182493868780684,-0.6144857067940759,-0.8304085101174297,1.2364109565190295,-0.009344669742973773,2.165972724546865,-0.47718904579583715,-0.3130675364857384,0.2077861078835347,-0.5488387671727767,-0.9137157641371182
France,1990,-0.36046302228379407,-0.549846588368452,-0.5242255658672728,-1.0248962007985136,1.5889413495851175,-0.36530525976540373,-0.5132654876684845,-0.6407541676090097,2.760726963359909,-0.5726664539398713,-0.5447454222757119
France,1991,-0.28935846482948424,-0.5455353221737259,-0.5201366276158158,-0.930756996976749,1.7343922999537638,-0.3477108807277255,-0.49757087464928584,-0.6199382747765919,-0.43620356819007816,-0.5642529610017556,-0.5869486673894775
France,1992,-0.4639110374109105,-0.538888048804282,-0.516448051300251,-0.9657635210396738,1.7867975307214878,-0.29455208487356577,-0.4997660311558247,-0.6172409203245617,-0.43639485225227825,-0.5763505577219391,-0.6670424172404193
France,1993,-0.4402459821350915,-0.5415427420334075,-0.5132189738306895,-1.0390013393175541,2.044896790035642,-0.31535175229427526,-0.5051102819369285,-0.6165131486619777,-0.44914712306561705,-0.5986555016747775,-0.7250333726613417
France,1994,-0.5212687137573871,-0.5316467535471822,-0.5104334737313324,-1.0953707364194167,1.9580521804049573,-0.24878976193431626,-0.5126730565762376,-0.6179957466957917,-0.43250540965420986,-0.6005864178843486,-0.7117870986475321
France,1995,-0.6581905667014555,-0.5225982494988421,-0.5077204542551377,-1.069664947933029,2.1014127130465208,-0.27501871147363044,-0.5089150366082494,-0.6148628114345571,-0.4400930107881465,-0.5988513044105375,-0.7226459628100155
France,1996,-0.6187001894076004,-0.5164013973130199,-0.5050518127337105,-1.0104263538923133,2.269690964979335,-0.30754594156423776,-0.4991378617610293,-0.5957216050673415,-0.42925358059680846,-0.5952831760950352,-0.7375865276860567
France,1997,-0.5263736563438504,-0.5060105474735961,-0.5023761960895521,-1.0438036465436737,2.240265325314123,-0.31680053990208545,-0.5022635886839281,-0.5975856744930675,-0.43269669371640995,-0.6013410115044696,-0.762615824514476
France,1998,-0.5278322113685541,-0.4896768034296782,-0.4995780093539232,-0.9628696053947513,2.1599699160270363,-0.32664060586357857,-0.49359017756541834,-0.5926400737525347,-0.43805264745801226,-0.586289805824092,-0.7192573810855526
France,1999,-0.5448608412819709,-0.47354564116212605,-0.4956554631606605,-0.9662990571803003,2.2001533486965092,-0.27850292916431485,-0.4941537431056067,-0.5826325370242902,-0.4575636218024208,-0.5936775936618036,-0.7422843341676985
France,2000,-0.43889681873724046,-0.4544132811548342,-0.4904014772356383,-0.9774529971399184,2.3663741914721275,-0.3070590635554771,-0.5060793397560331,-0.5731065741099487,-0.4485095095249501,-0.5947349284349073,-0.729808192363994
France,2001,-0.5491635786048471,-0.4443608355275566,-0.4847793008647122,-0.9819955430070385,2.371496708911552,-0.2731382638737379,-0.4922403693691622,-0.561624555760484,-0.45093244097948454,-0.6091113677643586,-0.7230310289150682
France,2002,-0.6611076767508631,-0.43849242938879157,-0.47912042928289633,-1.018009891705469,2.457138006130881,-0.3383763924934071,-0.5006196267666955,-0.5633912282350835,-0.4666177340798913,-0.6054046713589337,-0.724340253672247
France,2003,-0.853162909628735,-0.4341900561822919,-0.473565401104349,-1.0002705122947257,2.441804212577266,-0.3480190834165609,-0.4980134797808484,-0.5537462246026986,-0.46897690418035903,-0.604464818227286,-0.7308863774581412
France,2004,-0.9718163608883883,-0.4192781250777313,-0.46775254610658884,-1.0009877309249626,2.45065200969667,-0.3474901065652974,-0.4978664029203603,-0.5499233942709847,-0.4673828703286917,-0.6058896596736623,-0.6931498991629861
France,2005,-0.9986173094673205,-0.4102654654694012,-0.46175727648609993,-1.0112653390181012,2.4283393417448402,-0.3796627273360311,-0.501798990750797,-0.5455594697663461,-0.46712782491242494,-0.6001360715921008,-0.6903774232066072
France,2006,-1.053641297774271,-0.39677227563138445,-0.456171871142615,-1.048349900216704,2.3705732191494704,-0.35494160168831607,-0.5091583319755991,-0.5521283530256533,-0.44819070275461664,-0.603981336087448,-0.6758219244356187
France,2007,-1.1501247126584269,-0.3830873787296242,-0.4511824849820663,-1.0883125248465546,2.2421914503865388,-0.3302599314674119,-0.5224323622721835,-0.5602258273234733,-0.42925358059680846,-0.6011180976206815,-0.6638078619579775
France,2008,-1.2101807158006055,-0.3816136198395406,-0.4466492617392585,-1.1079428315352935,2.1987148502247056,-0.28481746182689976,-0.5288006528763127,-0.5524881806506484,-0.4117192082284675,-0.6089487008761887,-0.7093226755751953
France,2009,-1.1905631507183394,-0.39826577745076164,-0.44245337160592463,-1.1792224984019328,1.9248288672644445,-0.3028579906908242,-0.535505708254457,-0.5565977908940124,-0.4298274327834087,-0.6254533653258615,-0.800737368914684
France,2010,-1.1756494255907433,-0.3872925235829525,-0.43840390850557637,-1.1674777813672548,2.0339720786950175,-0.27257864298130363,-0.5376692501087413,-0.5412280109120828,-0.45520445170195306,-0.6195898264772964,-0.7851036850495481
Germany,1990,0.5495294576289016,-0.38120815902814975,-0.256374358041544,-0.02566330389574311,-0.29358652885937614,-0.568182323107003,-0.3791547582549137,-0.4695654986499196,-0.47222873323776043,0.16337561005533088,-0.1981859277283673
Germany,1991,0.3729713718885077,-0.35158276651727305,-0.2490344818815315,-0.09592687073397557,-0.33253570358322376,-0.5733968032245578,-0.349479596188748,-0.4482950867122449,-0.4863837538405666,0.0653853778568221,-0.31794148639972747
Germany,1992,0.031851815485908194,-0.3398601235691733,-0.2413175700112821,-0.19277755540260644,-0.2639654634565348,-0.5633126618808325,-0.3471126209199566,-0.4504026485157871,-0.49148466216590214,-0.009497119172232431,-0.2638782052503417
Germany,1993,0.06966485450135401,-0.34592930316079284,-0.23459820178031615,-0.20975027877097427,-0.30429012029149227,-0.5612615671123758,-0.33751688668567514,-0.4316807901325883,-0.5055759214146416,-0.044920846420987065,-0.2571780550224264
Germany,1994,-0.061058139587723194,-0.33121361231453134,-0.23103495022425688,-0.2456173362230215,-0.3240828840103151,-0.5553183854023808,-0.3525709593591962,-0.4158294363367557,-0.5118245341131775,-0.0638625018434259,-0.19487435922491494
